epoch,loss,accuracy,precision,recall,f1,lr
1,0.573387383479698,0.7129411764705882,0.6819923371647509,0.9544235924932976,0.7955307262569833,0.001
2,0.42329133274508457,0.8807843137254902,0.8477751756440282,0.9705093833780161,0.905,0.001
3,0.36097345034281414,0.8854901960784314,0.8667481662591687,0.9504021447721179,0.9066496163682864,0.001
4,0.31089044269393473,0.9058823529411765,0.89125,0.9557640750670241,0.9223803363518758,0.001
5,0.2838986228961571,0.9207843137254902,0.908745247148289,0.9611260053619303,0.9342019543973942,0.001
6,0.26721715918942995,0.923921568627451,0.9123252858958069,0.9624664879356568,0.9367253750815394,0.001
7,0.24537861277075373,0.9254901960784314,0.9135959339263025,0.9638069705093834,0.9380300065231572,0.001
8,0.24145178770317752,0.9262745098039216,0.9085213032581454,0.9718498659517426,0.939119170984456,0.001
9,0.22674019744583204,0.9341176470588235,0.9309895833333334,0.9584450402144772,0.9445178335535006,0.001
10,0.21132157485859066,0.9325490196078431,0.9198473282442748,0.9691689008042895,0.943864229765013,0.001
11,0.21132439011452245,0.9380392156862745,0.9336801040312094,0.9624664879356568,0.9478547854785478,0.001
12,0.19746963587461733,0.9380392156862745,0.9259259259259259,0.9718498659517426,0.9483322432962721,0.001
13,0.19444919329063565,0.9411764705882353,0.938562091503268,0.9624664879356568,0.9503639973527466,0.001
14,0.19015851556086072,0.9380392156862745,0.9336801040312094,0.9624664879356568,0.9478547854785478,0.001
15,0.18694947012499266,0.9427450980392157,0.9375812743823146,0.9664879356568364,0.9518151815181518,0.001
16,0.18055318692151237,0.9396078431372549,0.9372549019607843,0.9611260053619303,0.9490403706154864,0.001
17,0.1695875606583614,0.9427450980392157,0.9308578745198464,0.9745308310991957,0.9521938441388343,0.001
18,0.17755187273025513,0.9435294117647058,0.9365284974093264,0.9691689008042895,0.9525691699604744,0.001
19,0.15949518328203874,0.956078431372549,0.94921875,0.9772117962466488,0.9630118890356671,0.001
20,0.16693379692002838,0.9498039215686275,0.9394329896907216,0.9772117962466488,0.9579500657030223,0.001
21,0.16311045429285834,0.9490196078431372,0.9462647444298821,0.967828418230563,0.9569251159708416,0.001
22,0.16031796077887217,0.9450980392156862,0.945910290237467,0.9611260053619303,0.9534574468085106,0.001
23,0.1576581797763413,0.9466666666666667,0.9323979591836735,0.9798927613941019,0.9555555555555556,0.001
24,0.1563561205770455,0.9458823529411765,0.9507323568575233,0.9571045576407506,0.9539078156312625,0.001
25,0.15211431519657959,0.9513725490196079,0.9418604651162791,0.9772117962466488,0.9592105263157895,0.001
26,0.14935609105755301,0.9584313725490196,0.9553219448094612,0.9745308310991957,0.9648307896483079,0.001
27,0.14914122553432688,0.9482352941176471,0.9461942257217848,0.9664879356568364,0.9562334217506632,0.001
28,0.14451090754247178,0.9545098039215686,0.9502617801047121,0.9731903485254692,0.9615894039735099,0.001
29,0.1378834663068547,0.9545098039215686,0.9574468085106383,0.9651474530831099,0.9612817089452603,0.001
30,0.1475211543195388,0.9498039215686275,0.9451697127937336,0.9705093833780161,0.9576719576719577,0.001
31,0.13807214500857334,0.9584313725490196,0.9589403973509933,0.9705093833780161,0.9646902065289806,0.001
32,0.1455729918327986,0.9443137254901961,0.9434954007884363,0.9624664879356568,0.9528865295288653,0.001
33,0.13972655994050642,0.9505882352941176,0.953519256308101,0.9624664879356568,0.9579719813208806,0.001
34,0.13108910134610008,0.956078431372549,0.9539473684210527,0.9718498659517426,0.9628154050464808,0.001
35,0.13592187888482038,0.956078431372549,0.9515706806282722,0.9745308310991957,0.9629139072847682,0.001
36,0.1352283769612219,0.9584313725490196,0.9589403973509933,0.9705093833780161,0.9646902065289806,0.001
37,0.13416636900574552,0.9545098039215686,0.9526315789473684,0.9705093833780161,0.9614873837981408,0.001
38,0.14149948177968755,0.9529411764705882,0.9477806788511749,0.9731903485254692,0.9603174603174603,0.001
39,0.12741308366551118,0.9631372549019608,0.9604743083003953,0.9772117962466488,0.9687707641196013,0.001
40,0.13076231561455073,0.9545098039215686,0.9611260053619303,0.9611260053619303,0.9611260053619303,0.001
41,0.12099749369948518,0.96,0.9530638852672751,0.9798927613941019,0.9662921348314607,0.001
42,0.11755746119746975,0.96,0.9566360052562418,0.9758713136729222,0.9661579296615793,0.001
43,0.13214932455736048,0.9537254901960784,0.9490196078431372,0.9731903485254692,0.9609530112508272,0.001
44,0.12285707538034402,0.9568627450980393,0.9588313413014609,0.967828418230563,0.9633088725817212,0.001
45,0.1179462333870869,0.9615686274509804,0.9579500657030223,0.9772117962466488,0.9674850696748507,0.001
46,0.12027208632698246,0.9654901960784313,0.9667553191489362,0.9745308310991957,0.9706275033377837,0.001
47,0.12362175775509254,0.9576470588235294,0.9552631578947368,0.9731903485254692,0.9641434262948207,0.001
48,0.11492167709504857,0.9568627450980393,0.9564068692206077,0.9705093833780161,0.9634065202927479,0.001
49,0.11715335553183275,0.9568627450980393,0.9552042160737813,0.9718498659517426,0.9634551495016611,0.001
50,0.1080114448947065,0.9623529411764706,0.9616402116402116,0.9745308310991957,0.9680426098535286,0.001
